indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total Teachers (Elementary),19376,20367.0,21237.0,21174.0,20367,21883,24825,28506,29050,30320
% Teachers: Government,-,63.6,62.9,60.3,58.5,58.2,62.0,65.0,64.3,63.4
% Teachers: Private Aided,-,0.0,0.0,0.2,-,-,-,-,-,-
% Teachers: Private Unaided,-,36.4,37.1,39.6,40.5,40.5,38.0,35.1,35.7,36.6
Pupil-Teacher Ratio: Elementary,22,19.0,19.0,19.0,20,19,17,14,12,12
% Female Teachers,40.9,42.6,43.8,44.7,44.2,45.7,47.8,49.1,49.6,50.7
% SC Teachers,-,4.2,3.3,3.4,3.1,3.1,2.7,2.3,2.1,2.0
% ST Teachers,-,83.7,83.7,82.6,82.8,83.4,84.8,87.0,87.6,87.9
% OBC Teachers,-,1.9,2.0,2.3,2.8,2.6,2.4,2.0,1.9,2.0
% Teachers Recieved in-Service Training,37.8,12.5,13.3,6.1,14.9,6.0,6.3,1.4,0.7,1.1
Enrolment: Classes I-V,310688,269858.0,286235,278190.0,287726.0,288540.0,291156.0,285298,241103.0,238080.0
Enrolment: Classes VI-VIII,111191,117179.0,123256,123221.0,123657.0,125865.0,126635.0,126397,113207.0,111616.0
"Enrolment: Classes I-V, Government",-,128654.0,136561,132345.0,142791.0,142891.0,145978.0,144420,121199.0,118916.0
"Enrolment:Cla2s1s.7es VI-VIII,Government",-,41034.0,44340,46438.0,48675.0,49236.0,53004.0,53451,48322.0,47680.0
"Enrolment: Class3e7s. 6I-V, Private",-,141204.0,149674,145845.0,144935.0,144214.0,145178.0,140878,119904.0,119164.0
"Enrolment: Classes VI-VIII, Private",-,76145.0,78916,76783.0,74982.0,74722.0,73631.0,72816,64885.0,63936.0
% Girls Enrolm2e6n.5t: Primary Level,49.0,49.0,49.0,48.7,49.1,49.2,49.1,49.1,48.8,48.8
% Girls Enrolme3n1t.:1 U.Primary Level,49.5,48.7,48.8,49.1,49.4,49.5,49.6,49.6,49.4,49.5
Ratio of Girls Enr.to Boys: Primary,0.96,0.96,0.96,0.95,0.96,0.97,0.97,0.96,0.95,0.95
Ratio of Girls Enr.to Boys: U.Primary,0.98,0.95,0.95,0.96,0.98,0.98,0.99,0.98,0.98,0.98
% SC Enrolment: Classes I-VIII,1.9,0.0,0.1,0.0,0.0,0.1,2.3,0.7,0.1,2.3
% ST Enrolment3: 1C.7lasses  I-VIII,94.7,93.8,95.4,91.5,91.6,92.1,92.4,90.1,88.2,87.5
% OBC Enrolment: Primary Level,0.6,0.0,0.0,0.2,0.2,0.4,0.2,0.3,0.4,1.5
% OBC Enrolment:U.Primary Level,0.6,0.0,0.0,0.2,0.2,0.4,0.1,0.2,0.4,1.5
% Muslim Enrolm32e.n6t: Primary Level,-,0.0,0.0,0.0,0.6,0.9,0.9,2.2,3.1,4.4
% Muslim Enro2lm9.e2nt: U. Primary Level,-,0.1,0.0,0.0,0.4,0.7,0.5,1.3,1.7,2.3
Ratio of Grade V to I,56,66.0,70,70.0,70.0,74.0,79.0,86,87.0,84.0
Avg. Repetition Rate: Primary Level,5.7,3.0,3.4,2.1,5.2,3.3,2.8,0.0,1.3,0.8
Avg.Repetition Rate: U.Primary Level,-,2.8,3.6,2.6,4.7,4.7,3.1,0.0,1.1,0.6
Avg. Drop-out R3a1te.4: Primary Level,8.9,24.3,2.8,11.4,5.2,6.0,51.54,.17.1,19.4,5.6
Retention Rate: Primary Level,-,63.4,54.6,49.7,48.7,64.2,75.7,79.2,67.6,66.3
Transition Rate: Primary to U.Primary,-,82.0,-,93.8,93.0,90.2,91.1,88.0,78.7,87.3
Student-Classroom Ratio,25,22,22,21.0,20,20,21,20,18,18
% Schools with Drinking Water,51.5,72.1,75.2,84.0,75.1,6240.16,1471.1,72.3,78.1,82.0
% Schools with Common Toilet,48.3,77.2,79.9,86.5,-,-,-,-,-,-
% Schools with Boys' Toilet,-,-,-,12.4,42.8,71.8,91.0,97.2,99.6,98.7
% Schools with Girls' Toilet,21.3,37.0,57.4,90.5,69.4,6200.10,15 93.0,88.8,94.8,99.9
% Schools with Boundarywall,71.8,75.2,76.5,76.1,75.3,63.3,64.7,64.7,70.3,68.6
% School with Playground Facility,-,-,-,48.7,47.3,4200.15,1639.3,39.6,40.7,45.1
% Schools with Ramp,3.8,6.4,8.1,7.8,26.7,8.2,78.9,76.2,71.6,82.5
% Schools havining Electricity,-,-,33.4,34.0,35.0,30.1,34.2,35.3,40.4,51.2
% Schools with Computer,13.9,19.7,23.6,27.6,33.1,29.4,31.1,35.1,35.6,39.7
% Schools Providing Mid-day Meal*,-,-,-,80.0,90.6,74.1,80.6,83.7,88.5,90.3
Number of Districts 5C.5overed,8,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
11.9,2514,2523.0,2575.0,2707.0,2826.0,3370.0,3359.0,3320.0,2963.0,2799.0
Total Government Schools,-,1854.0,1886.0,2005.0,2101.0,2671.0,2624.0,2603.0,2259.0,2092.0
Total Private Schools,-,668.0,689.0,702.0,725.0,699.0,735.0,717.0,704.0,707.0
Ratio of Primary to U.PrimarySch1./2S.2ec.,2.4,2.3,2.2,2.2,2.1,1.7,1.7,1.7,1.7,1.7
Primary Sch./Sec.per 1000 Child Popln.,9,10.0,7.0,12.0,13.0,13.0,13.0,11.0,11.0,11.0
U.Prim. Sch./Sec.per 1000 Child Popln.,6,7.0,11.0,7.0,8.0,11.0,11.0,12.0,13.0,14.0
% Single-Teacher Schools with Enr.≥15,2.3,1.9,2.0,3.2,2.1,1.5,1.5,1.5,1.3,0.9
% Enrolment in Single-Teacher Schools,0.5,0.7,0.5,1.1,0.8,0.6,0.7,0.7,0.5,0.3
% Schools with Enro6lm.3ent ≤ 50,25.1,24.6,22.1,26.2,26.9,36.5,34.5,35.1,36.8,33.7
% Schools with Fem5.a2le Teachers,81.9,84.3,85.2,84.9,83.8,87.3,89.9,100.0,92.6,93.8
